id,npcId,分段,说话人,文本,立绘,玩家立绘,回答1,回答2,回答3,跳转1,跳转2,跳转3,需要标记,排除标记,优先,情绪,情绪强度,触发任务,完成任务
dlg_laotou_01,npc_cunmin_laotou,1,,咳咳……年轻人、过来晒晒太阳。人老了、就图个暖和。,立绘/老头村民,,好嘞,不了,,0,0,0,,,0,,1,,
dlg_laotou_02,npc_cunmin_laotou,2,,我在这村里住了六十年咯。这山、这水、都还是老样子。,立绘/老头村民,,那真好,不打扰了,,0,0,0,,,0,,1,,
dlg_zhengtai_01,npc_cunmin_zhengtai,1,,你你你、你是从山外面来的？外面真的有会飞的人吗？,立绘/正太村民,,有啊,没有,,2,3,0,,,0,冒泡,1.2,,
dlg_zhengtai_02,npc_cunmin_zhengtai,2,,哇——！我长大了也要飞！,立绘/正太村民,,加油,看好你哦,,0,0,0,,,0,震动,1.3,,
dlg_zhengtai_03,npc_cunmin_zhengtai,3,,哼、大人都说我在吹牛。你信不信我？,立绘/正太村民,,信,不信,,0,0,0,,,0,,1,,
dlg_pangshu_01,npc_cunmin_pangshu,1,,哎哟、来客人啦！闻见没？锅里炖着山菌、香吧？,立绘/胖叔村民,,香、闻到了,还行吧,,0,0,0,,,0,,1,,
dlg_pangshu_02,npc_cunmin_pangshu,2,,嘿嘿、一会儿盛你一碗。别的本事我没有、做饭是真有一手。,立绘/胖叔村民,,多谢款待,那我等着,,0,0,0,,,0,震动,0.5,,
dlg_xiaomei_01,npc_xiaomei_01,1,,咦？你不是村里的人吧。我天天在溪边、没见过你。,立绘/小梅,,今天刚到,你常来这儿吗,,2,3,0,,,0,,1,,
dlg_xiaomei_02,npc_xiaomei_01,2,,嗯、我在这儿洗衣裳。水凉、可这溪水最干净了。,立绘/小梅,,我来帮你,不了,,0,0,0,,,0,,1,,
dlg_xiaomei_03,npc_xiaomei_01,3,,你、你别一直看着我呀……怪不好意思的。,立绘/小梅,,抱歉,告辞,,0,0,0,,,0,震动,1.2,,
dlg_xiaomei2_01,npc_xiaomei_02,1,,娘说、外面来的人要小心些。可我看你不像坏人。,立绘/小梅,,我确实不是,多谢信任,,0,0,0,,,0,,1,,
dlg_xiaomei2_02,npc_xiaomei_02,2,,那你可别骗我。骗人的话、我就不理你了。,立绘/小梅,,绝不骗你,记住了,,0,0,0,,,0,,1,,
dlg_xiaomei3_01,npc_xiaomei_03,1,,这花好看吧？我从后山摘的。后山的花、比村里多得多。,立绘/小梅,,好看,后山远吗,,2,3,0,,,0,,1,,
dlg_xiaomei3_02,npc_xiaomei_03,2,,不远、翻过去就是。不过大人们不让我一个人去。,立绘/小梅,,下次一起去,那算了,,0,0,0,,,0,,1,,
dlg_xiaomei3_03,npc_xiaomei_03,3,,你要是去的话、帮我带一朵回来好不好？,立绘/小梅,,好,有机会就带,,0,0,0,,,0,冒泡,1,,
dlg_xiaomei4_01,npc_xiaomei_04,1,,你身上有股……说不上来的味道。像山里雨后的石头。,立绘/小梅,,听起来不错,第一次有人这么说,,2,0,0,,,0,,1,,
dlg_xiaomei4_02,npc_xiaomei_04,2,,嘻、我在夸你呢。奶奶说、能闻出这种味道的、都是有缘人。,立绘/小梅,,那我记住了,告辞,,0,0,0,,,0,,1,,
dlg_chengnan_01b,npc_cunmin_chengnan,1,,（他收下回春丹，又问起山里的事。）,立绘/成男村民,,这就去办,再说吧,,0,0,0,q_初入山门_回话开始,,10,,1,,q_main_001
dlg_farewell_pangshu,npc_cunmin_pangshu,1,,听说你要跟仙人走了？哈哈，那可真是咱村天大的喜事！,立绘/胖叔村民,,是要走了,多谢叔照顾,,0,0,0,q_凡尘_料理中,,10,,1,,
dlg_farewell_laotou,npc_cunmin_laotou,1,,去吧去吧，山里人留不住仙缘。我年轻时也见过仙人，一晃六十年咯。,立绘/老头村民,,晚辈记住了,您多保重,,0,0,0,q_凡尘_料理中,,10,,1,,
dlg_farewell_chengnan,npc_cunmin_chengnan,1,,往后在外头，别忘了咱古古镇；也别忘了，你是从这儿走出去的。,立绘/成男村民,,不会忘,一定回来看看,,0,0,0,q_凡尘_料理中,,10,,1,,
dlg_farewell_chengnv,npc_cunmin_chengnv,1,,衣裳我给你缝好了，山里风大，带着吧。,立绘/成女村民,,多谢嫂子,我会回来看你们,,0,0,0,q_凡尘_料理中,,10,,1,,
dlg_farewell_zhengtai,npc_cunmin_zhengtai,1,,你要去修仙啦？好厉害好厉害！你一定要回来呀，回来给我讲讲会飞的事！,立绘/正太村民,,一定回来,你也好好练,,0,0,0,q_凡尘_料理中,,10,,1,,
dlg_farewell_xiaomei1,npc_xiaomei_01,1,,xxx哥哥，你要走了吗……那，那我会想你的。,立绘/小梅,,我会回来看你,你也要好好的,,0,0,0,q_凡尘_料理中,,10,,1,,
dlg_farewell_xiaomei2,npc_xiaomei_02,1,,他们都说你要去当神仙了。当神仙是不是就……再也见不到啦？,立绘/小梅,,还会回来的,别瞎想,,0,0,0,q_凡尘_料理中,,10,,1,,
dlg_farewell_xiaomei3,npc_xiaomei_03,1,,我给你摘的花，你带一朵走吧。后山的花，我也给你留着。,立绘/小梅,,好，我带着,等我回来,,0,0,0,q_凡尘_料理中,,10,,1,,
dlg_farewell_xiaomei4,npc_xiaomei_04,1,,奶奶说，能闻出你身上那股味道的，都是有缘人。有缘……总会再见的吧？,立绘/小梅,,总会再见的,嗯，有缘再见,,0,0,0,q_凡尘_料理中,,10,,1,,
