id,名字,境界,神识,对主角好感度,背包物品,介绍,死亡后立即重生,重生延迟,气血,攻击,防御,灵力,移动速度,暴击,暴击抗性,暴击伤害,会心,会心抗性,会心伤害,真实,真实抗性,真实伤害,闪避,忽视闪避,冷却缩减,攻速,气血回复,灵力回复,治疗加成,普攻伤害加成,普攻伤害减免,主动法术伤害加成,主动法术伤害减免,被动法术伤害加成,被动法术伤害减免
demon_fangliangshou,方良兽,4,53,-20,,罕见的山兽。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
demon_feishe,飞蛇,3,37,-20,,能御空滑翔的蛇妖。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
beast_gou,狗,0,12,20,,看家护院的狗。,否,0,400,8,10,150,1,0,0,1.5,0,0,1.3,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
demon_goutoujunshi,狗头军师,3,37,-15,,给妖王出主意的狗头妖。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
npc_guanliyuan,管理员,1,17,20,,负责打理此地事务的人。,否,0,700,12,16,255,1,0.05,0.02,1.5,0.04,0.02,1.3,0.02,0.01,0.03,0.03,0,0.03,1,7,5.1,0,0.02,0.02,0,0,0,0
human_guimianren,鬼面人,5,77,10,,戴鬼面的刺客，行踪诡秘。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
demon_guiqijiang_01,鬼气将·卒,3,37,-25,,鬼气凝聚的低阶兵将。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_guiqijiang_02,鬼气将,5,77,-30,,成形的鬼将，手持兵刃。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
demon_guiqijiang_03,鬼气将·帅,7,162,-40,,统御鬼众的鬼帅。,否,0,20106,999,586,6155,1.5,0.35,0.14,1.5,0.28,0.14,1.3,0.14,0.07,0.21,0.21,0,0.21,1,201.06,123.1,0,0.14,0.14,0,0,0,0
demon_hamajing,蛤蟆精,3,37,-20,,水边的蛤蟆精，舌头极长。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
human_hanba,旱魃,7,162,10,,僵尸之祖，所过之处赤地千里。,否,0,20106,999,586,6155,1.5,0.35,0.14,1.5,0.28,0.14,1.3,0.14,0.07,0.21,0.21,0,0.21,1,201.06,123.1,0,0.14,0.14,0,0,0,0
demon_hanlang,寒狼,3,37,-25,,出没于雪地的狼群。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_heibaiwuchang,黑白无常,7,162,-30,,勾魂二使，见之者命不久矣。,否,0,20106,999,586,6155,1.5,0.35,0.14,1.5,0.28,0.14,1.3,0.14,0.07,0.21,0.21,0,0.21,1,201.06,123.1,0,0.14,0.14,0,0,0,0
demon_heiyujin,黑鱼精,4,53,-20,,水中修炼成精的黑鱼。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
beast_houzi,猴子,1,17,10,,山中顽猴，会抢东西。,否,0,700,50,32,255,1.5,0.05,0.02,1.5,0.04,0.02,1.3,0.02,0.01,0.03,0.03,0,0.03,1,7,5.1,0,0.02,0.02,0,0,0,0
npc_huyiming,胡一鸣,2,25,25,,游方散修，说话总带三分吹嘘，手上倒是有些真本事。,否,0,1225,20,26,434,1,0.1,0.04,1.5,0.08,0.04,1.3,0.04,0.02,0.06,0.06,0,0.06,1,12.25,8.68,0,0.04,0.04,0,0,0,0
demon_huayao,花妖,4,53,-20,,花木成精，以美色惑人，根须却藏着杀机。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
npc_huolang_01,火狼,3,37,-20,,周身燃着赤焰的狼妖，游荡于村外林中。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_huoqilin,火麒麟,7,162,-10,,火中瑞兽，怒时焚山。,否,0,20106,999,586,6155,1.5,0.35,0.14,1.5,0.28,0.14,1.3,0.14,0.07,0.21,0.21,0,0.21,1,201.06,123.1,0,0.14,0.14,0,0,0,0
human_huowa,火娃,3,37,10,,浑身是火的小妖童，顽劣难缠。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
human_huozhu,火蛛,4,53,10,,吐火的妖蛛，网中皆是焦痕。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
demon_jianmo,剑魔,6,112,-35,,剑意入魔者，一身剑气皆是杀意。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
human_jiaomo,蛟魔,7,162,10,,蛟龙入魔，翻江倒海。,否,0,20106,999,586,6155,1.5,0.35,0.14,1.5,0.28,0.14,1.3,0.14,0.07,0.21,0.21,0,0.21,1,201.06,123.1,0,0.14,0.14,0,0,0,0
demon_jinniu,金牛,6,112,-15,,金角牛妖，皮糙肉厚。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
human_jiuyin,九阴,6,112,10,,阴气凝成的邪物。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
demon_jushiguai,巨石怪,5,77,-25,,顽石成精，行动迟缓却极难击破。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
demon_laoguijing,老龟精,5,77,-10,,活了数百年的龟精，壳极坚厚。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
demon_laohu,老虎,3,37,-25,,山中猛虎，寻常人不敢近。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
human_laotou,老头,1,17,20,,村头晒太阳的老者，话不多。,否,0,700,12,16,255,1,0.05,0.02,1.5,0.04,0.02,1.3,0.02,0.01,0.03,0.03,0,0.03,1,7,5.1,0,0.02,0.02,0,0,0,0
human_leigong,雷公,7,162,15,,执掌雷霆的神将，面目威严。,否,0,20106,250,293,6155,1,0.35,0.14,1.5,0.28,0.14,1.3,0.14,0.07,0.21,0.21,0,0.21,1,201.06,123.1,0,0.14,0.14,0,0,0,0
npc_liacui,李阿翠,0,12,30,,村中少女，常在溪边洗衣，嘴快心热。,否,0,400,8,10,150,1,0,0,1.5,0,0,1.3,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
npc_licunyi,李村医,1,17,30,,村里的郎中，认得百草，也替外乡人看病。,否,0,700,12,16,255,1,0.05,0.02,1.5,0.04,0.02,1.3,0.02,0.01,0.03,0.03,0,0.03,1,7,5.1,0,0.02,0.02,0,0,0,0
demon_liyujing,鲤鱼精,4,53,-20,,化形的鲤鱼精，善水战。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
demon_liequan,LieQuan,4,53,-20,,出没于此地的妖物，见人便袭。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
beast_linghe,灵鹤,3,37,25,,开了灵智的白鹤，知人言。,否,0,2144,34,42,737,1,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
beast_maolv,毛驴,0,12,20,,拉磨的毛驴。,否,0,400,8,10,150,1,0,0,1.5,0,0,1.3,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
human_mengzhuangshi,猛壮士,3,37,15,,膀大腰圆的壮汉，力气惊人。,否,0,2144,34,42,737,1,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_mingshi,冥石,3,37,-10,,冥气浸透的石头成精。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_mingyao_01,冥妖·一,3,37,-25,,冥界渗出的妖物。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_mingyao_02,冥妖·二,4,53,-25,,冥界渗出的妖物。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
demon_mingyao_03,冥妖·三,5,77,-30,,冥界渗出的妖物。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
demon_mingyao_04,冥妖·四,6,112,-30,,冥界渗出的妖物，已近成形。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
beast_muji,母鸡,0,12,15,,村里的母鸡。,否,0,400,8,10,150,1,0,0,1.5,0,0,1.3,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
demon_nanshandawang,南山大王,6,112,-40,,占山为王的妖王，手下成群。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
human_nezha,哪吒,8,234,20,,三坛海会大神，年少英武，火尖枪在手。,否,0,35186,412,474,10464,1,0.4,0.16,1.5,0.32,0.16,1.3,0.16,0.08,0.24,0.24,0,0.24,1,351.86,209.28,0,0.16,0.16,0,0,0,0
demon_niutouyao,牛头妖,4,53,-30,,牛首人身的妖物，力大无穷。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
human_nveba,女恶霸,3,37,10,,仗势欺人的恶妇，手下颇多。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
npc_qianzhanggui_01,钱掌柜,1,17,25,,杂货铺掌柜，算盘打得比谁都精。,否,0,700,12,16,255,1,0.05,0.02,1.5,0.04,0.02,1.3,0.02,0.01,0.03,0.03,0,0.03,1,7,5.1,0,0.02,0.02,0,0,0,0
demon_qiongqi,穷奇,8,234,-50,,上古四凶之一，状如虎而有翼，食人。,否,0,35186,1648,949,10464,1.5,0.4,0.16,1.5,0.32,0.16,1.3,0.16,0.08,0.24,0.24,0,0.24,1,351.86,209.28,0,0.16,0.16,0,0,0,0
human_renshenwa,人参娃,5,77,25,,成了精的人参，能遁地而走，见者有福。,否,0,6565,92,112,2130,1,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
demon_rongyanguai,熔岩怪,6,112,-30,,地火中诞生的怪物，触之即焚。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
human_shanchengtufei,山城土匪,3,37,10,,盘踞山城的匪徒，劫掠为生。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
human_shanzei_01,山贼,2,25,10,,拦路打劫的贼人，成群出没。,否,0,1225,82,52,434,1.5,0.1,0.04,1.5,0.08,0.04,1.3,0.04,0.02,0.06,0.06,0,0.06,1,12.25,8.68,0,0.04,0.04,0,0,0,0
human_shanzei_02,山贼头目,3,37,10,,山贼中的头目，比手下凶悍得多。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
human_shanzei_03,山贼刀手,3,37,10,,使刀的山贼，出手狠辣。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
human_shanzei_04,山贼弓手,3,37,10,,躲在远处放箭的山贼。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
npc_shenmiren,神秘人,7,162,0,,披着斗篷，看不清面目，似乎在等什么人。,否,0,20106,250,293,6155,1,0.35,0.14,1.5,0.28,0.14,1.3,0.14,0.07,0.21,0.21,0,0.21,1,201.06,123.1,0,0.14,0.14,0,0,0,0
npc_shentong,神童,3,37,25,,年纪极小却过目不忘的孩子，被视作异才。,否,0,2144,34,42,737,1,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
human_shoushushenyu,守树神谕,6,112,10,,守护神树的灵体，不容外人靠近。,否,0,11489,605,362,3621,1.5,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
human_shouwei,守卫,3,37,10,,把守要道的兵士，盘查来往行人。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_shuangtoushe,双头蛇,5,77,-25,,双首并生的妖蛇，两处皆能噬人。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
beast_shuilan,水蓝,2,25,10,,水边温顺的蓝色小兽。,否,0,1225,20,26,434,1,0.1,0.04,1.5,0.08,0.04,1.3,0.04,0.02,0.06,0.06,0,0.06,1,12.25,8.68,0,0.04,0.04,0,0,0,0
demon_shuiyu,水鱼,2,25,-15,,水中的凶鱼。,否,0,1225,82,52,434,1.5,0.1,0.04,1.5,0.08,0.04,1.3,0.04,0.02,0.06,0.06,0,0.06,1,12.25,8.68,0,0.04,0.04,0,0,0,0
beast_songshu,松鼠,0,12,15,,树上的松鼠。,否,0,400,8,10,150,1,0,0,1.5,0,0,1.3,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
npc_taishi,太史,5,77,15,,记录星象历法的老者，知晓许多旧事。,否,0,6565,92,112,2130,1,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
demon_taowu,桃乌,3,37,-15,,偷桃的乌鸦精。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_tiejiafu,铁甲蝠,3,37,-20,,群居的铁甲蝙蝠。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
npc_tiejiang,铁匠,1,17,25,,村口铁匠铺的师傅，整日抡锤，替人修补兵器。,否,0,700,12,16,255,1,0.05,0.02,1.5,0.04,0.02,1.3,0.02,0.01,0.03,0.03,0,0.03,1,7,5.1,0,0.02,0.02,0,0,0,0
npc_tudigong,土地公,3,37,40,,村中土地庙里的老神，管着一方水土，对本地人极是和气。,否,0,2144,34,42,737,1,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_tufu,兔狐,2,25,-15,,狡黠的兔狐，跑得极快。,否,0,1225,82,52,434,1.5,0.1,0.04,1.5,0.08,0.04,1.3,0.04,0.02,0.06,0.06,0,0.06,1,12.25,8.68,0,0.04,0.04,0,0,0,0
beast_tuzi,兔子,0,12,15,,草地上的兔子。,否,0,400,8,10,150,1,0,0,1.5,0,0,1.3,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
demon_weiyueyan,危月燕,5,77,-25,,凶星之名的妖禽。,否,0,6565,367,223,2130,1.5,0.25,0.1,1.5,0.2,0.1,1.3,0.1,0.05,0.15,0.15,0,0.15,1,65.65,42.6,0,0.1,0.1,0,0,0,0
human_wuniang,巫娘,2,25,15,,通晓巫祝之术的女子，村人敬畏。,否,0,1225,20,26,434,1,0.1,0.04,1.5,0.08,0.04,1.3,0.04,0.02,0.06,0.06,0,0.06,1,12.25,8.68,0,0.04,0.04,0,0,0,0
demon_xiyijing,蜥蜴精,3,37,-20,,沙地的蜥蜴精。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
beast_xianhe,仙鹤,4,53,30,,仙家坐骑，姿态高洁，不与人争。,否,0,3752,56,69,1253,1,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
beast_xiaoji,小鸡,0,12,15,,村里的鸡。,否,0,400,8,10,150,1,0,0,1.5,0,0,1.3,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
beast_xiaolu,小鹿,0,12,20,,林间的小鹿，见人便逃。,否,0,400,8,10,150,1,0,0,1.5,0,0,1.3,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0
npc_xiaoyaozi,XiaoYaoZi,1,17,20,,本地的一位居民。,否,0,700,12,16,255,1,0.05,0.02,1.5,0.04,0.02,1.3,0.02,0.01,0.03,0.03,0,0.03,1,7,5.1,0,0.02,0.02,0,0,0,0
human_xiaoyaozi,XiaoYaoZi,3,37,10,,来历不明的修士。,否,0,2144,135,85,737,1.5,0.15,0.06,1.5,0.12,0.06,1.3,0.06,0.03,0.09,0.09,0,0.09,1,21.44,14.74,0,0.06,0.06,0,0,0,0
demon_xiongguai,熊怪,4,53,-25,,山林中的熊怪。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
demon_xuanfeng,旋风,4,53,-20,,化作旋风的妖兽。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
npc_xuanmingzi,玄冥子,6,112,10,,隐于此地的老修士，来历不明，偶尔点拨有缘人。,否,0,11489,151,181,3621,1,0.3,0.12,1.5,0.24,0.12,1.3,0.12,0.06,0.18,0.18,0,0.18,1,114.89,72.42,0,0.12,0.12,0,0,0,0
demon_yanshiguai,岩石怪,4,53,-20,,岩块聚成的精怪。,否,0,3752,222,138,1253,1.5,0.2,0.08,1.5,0.16,0.08,1.3,0.08,0.04,0.12,0.12,0,0.12,1,37.52,25.06,0,0.08,0.08,0,0,0,0
human_yangjian,杨戬,8,234,20,,二郎真君，额生天眼，武艺冠绝。,否,0,35186,412,474,10464,1,0.4,0.16,1.5,0.32,0.16,1.3,0.16,0.08,0.24,0.24,0,0.24,1,351.86,209.28,0,0.16,0.16,0,0,0,0
demon_yezhu,野猪,2,25,-20,,冲撞起来的野猪极是难缠。,否,0,1225,82,52,434,1.5,0.1,0.04,1.5,0.08,0.04,1.3,0.04,0.02,0.06,0.06,0,0.06,1,12.25,8.68,0,0.04,0.04,0,0,0,0
